SET NUMBER|CARD NUMBER|NAME|RARITY|THRESHOLD|TYPE|SUB TYPE|FACTION|SOCKET COUNT|COST|ATK|HEALTH|TEXT|FLAVOR|RESTRICTION|ARTIST|ENTERS PLAY EXHAUSTED|EQUIPMENT STRING|CURRENT RESOURCES ADDED|MAX RESOURCES ADDED|UUID
AI Only Cards|0|Choose Blood Transform|Non-Collectible||Resource||None|0|0|0|0|My master's remembered card's thresholds become [BLOOD].|||Richard Wright|0||0|0|a32092b7-b469-4e2a-84da-f5e3687a93e7
AI Only Cards|0|Choose Diamond Transform|Non-Collectible||Resource||None|0|0|0|0|My master's remembered card's thresholds become [DIAMOND].|||Richard Wright|0||0|0|8240e9fe-2d0d-4b29-9405-931d7270b569
AI Only Cards|0|Choose Ruby Transform|Non-Collectible||Resource||None|0|0|0|0|My master's remembered card's thresholds become [RUBY].|||Richard Wright|0||0|0|e460c659-a4a4-4232-87a5-e8e69cf3c030
AI Only Cards|0|Choose Sapphire Transform|Non-Collectible||Resource||None|0|0|0|0|My master's remembered card's thresholds become [SAPPHIRE].|||Richard Wright|0||0|0|2382eef6-842a-4c6f-af19-f810c5972dd6
AI Only Cards|0|Choose Wild Transform|Non-Collectible||Resource||None|0|0|0|0|My master's remembered card's thresholds become [WILD].|||Richard Wright|0||0|0|1a1da4c5-198b-4e67-82d1-5fbeb3fbc82d
AI Only Cards|0|Shroom Party Art2|Rare|1 Wild|Constant||None|0|3|0|0||||Lena Richards|0||0|0|1d9da1fd-34d1-4034-acfc-e53e177a0272
AI Only Cards|0|Shroom Party Art3|Rare|1 Wild|Constant||None|0|3|0|0||||Lena Richards|0||0|0|d0ca3213-2300-47f2-aada-d746b88b45aa
AI Only Cards|0|Shroom Party Art4|Rare|1 Wild|Constant||None|0|3|0|0||||Lena Richards|0||0|0|d635d121-ef29-4ea3-9b78-6324e04bb289
Primal Dawn|0|Yotul Mogak|Champion||Champion|Orc Mage|Aria|0||0|0|[BASIC] [BLOOD][RUBY]: [2] -> Non-combat damage dealt by your cards is increased by 1 this turn.||||0||0|0|e77df4b9-57a2-46fc-aea7-4c49d5b72623
Primal Dawn|0|Kagulichu|Champion||Champion|Shin'hare Warlock|Underworld|0||0|0|[BASIC] [BLOOD][WILD]: [4] -> Put the bottom three cards of your deck into your crypt. Reveal a random card from your crypt. Put the revealed card into your hand.||||0||0|0|a60c1899-687a-41ce-b93b-647c3109d099
Primal Dawn|0|Raven Talon|Champion||Champion|Coyotle Cleric|Aria|0||0|0|[BASIC] [DIAMOND][WILD]: [3] -> You get "When a troop enters play under your control, gain 1 health" this turn.||||0||0|0|95d631ec-0cdc-4c83-a5a7-bba51b34080c
Primal Dawn|0|Fiona Honeyfinch|Champion||Champion|Human Ranger|Aria|0||0|0|[BASIC] [DIAMOND][SAPPHIRE]: [3] -> Troops without Flight get -1[ATK] until the start of your next turn.||||0||0|0|03f46810-edcb-4fc8-81f2-255ab3cbd5d7
Primal Dawn|0|Morgan McBombus|Champion||Champion|Dwarf Mage|Underworld|0||0|0|If you played an action this turn, [BASIC] [RUBY][SAPPHIRE]: [3] -> Summon a Bumblebot.||||0||0|0|79195895-c5fb-439f-91a4-cfff15e43a8e
Armies of Myth|0|Roshi Manabu|Champion||Champion|Shin'hare Mage|Underworld|0||0|0|[BASIC] [WILD]: [6] -> Gain 1 health for each troop in your crypt.||||0||0|0|2bab441c-ccb5-4af9-afbe-1c0e3b12492e
Armies of Myth|0|Webweaver Thox|Champion||Champion||Underworld|0||0|0|[BASIC] [SAPPHIRE]: [3] -> Target troop gets -1[ATK].||||0||0|0|93d77a1c-496a-462a-95d8-a8427db23cbb
Armies of Myth|0|Benvolio|Champion||Champion|Elf Mage|Aria|0||0|0|[BASIC] [RUBY][RUBY]: [4] -> Draw a card. If the drawn card is a non-resource card, it gets "At the end of your turn, if this is in your hand, discard this" this turn.||||0||0|0|d07e4c59-5bc0-4cfb-ad2c-612fe1037d13
Armies of Myth|0|Prairie Meadow|Champion||Champion|Coyotle Warlock|Aria|0||0|0|[BASIC] [DIAMOND]: [4] -> The next time target troop would be dealt damage this game, prevent it.||||0||0|0|2c6522db-2108-497a-84f9-ac0d6e8f3a2b
Armies of Myth|0|Concubunny Yuka|Champion||Champion|Shin'hare Warlock|Underworld|0||0|0|[BASIC] [BLOOD][BLOOD]: [5] -> Target champion discards a card.||||0||0|0|c04e21d0-d7f2-48ad-bd09-814ea6d6f87f
Armies of Myth|0|Paragon of Righteousness|Champion||Champion|Avatar of Righteousness|None|0||0|0|[BASIC]: [1] -> Summon an Angel.    Cards you control have Invincible.||||0||0|0|c7f1d9df-296b-4fb9-a36e-b55a77e2714a
Armies of Myth|0|Madame Anana|Champion||Champion|Necrotic Warlock|Underworld|0||0|0|[BASIC] [BLOOD][DIAMOND]: [3] -> Target troop you control gets "Deathcry - Summon a Phantom."||||0||0|0|2a183b67-80c6-4417-9e5e-ca95854860f6
Armies of Myth|0|Winter Moon|Champion||Champion|Coyotle Mage|Aria|0||0|0|[BASIC] [SAPPHIRE][WILD]: [2] -> Put up to two target cards in your crypt into your deck. Those cards get "When you play this, draw a card."||||0||0|0|6faede36-02c3-4d18-9e22-fba3515f052c
