Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
423808|Aegis Automaton|AER|Artifact Creature - Construct|C|2|2|0|3||4W: Return another target creature you control to its owner's hand.
423668|Aerial Modification|AER|Enchantment - Aura|U|4W|5||||Enchant creature or Vehicle  As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.  Enchanted creature gets +2/+2 and has flying.
423669|Aeronaut Admiral|AER|Creature - Human Pilot|U|3W|4|3|1||Flying  Vehicles you control have flying.
423743|Aether Chaser|AER|Creature - Human Artificer|C|1R|2|2|1||First strike  When Aether Chaser enters the battlefield, you get EE (two energy counters).  Whenever Aether Chaser attacks, you may pay EE. If you do, create a 1/1 colorless Servo artifact creature token.
423769|Aether Herder|AER|Creature - Elf Artificer Druid|C|3G|4|3|3||When Aether Herder enters the battlefield, you get EE (two energy counters).  Whenever Aether Herder attacks, you may pay EE. If you do, create a 1/1 colorless Servo artifact creature token.
423670|Aether Inspector|AER|Creature - Dwarf Artificer|C|3W|4|2|3||Vigilance  When Aether Inspector enters the battlefield, you get EE (two energy counters).  Whenever Aether Inspector attacks, you may pay EE. If you do, create a 1/1 colorless Servo artifact creature token.
423718|Aether Poisoner|AER|Creature - Human Artificer|C|1B|2|1|1||Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)  When Aether Poisoner enters the battlefield, you get EE (two energy counters).  Whenever Aether Poisoner attacks, you may pay EE. If you do, create a 1/1 colorless Servo artifact creature token.
423693|Aether Swooper|AER|Creature - Vedalken Artificer|C|1U|2|1|2||Flying  When Aether Swooper enters the battlefield, you get EE (two energy counters).  Whenever Aether Swooper attacks, you may pay EE. If you do, create a 1/1 colorless Servo artifact creature token.
423671|Aethergeode Miner|AER|Creature - Dwarf Scout|R|1W|2|3|1||Whenever Aethergeode Miner attacks, you get EE (two energy counters).  Pay EE: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.
423809|Aethersphere Harvester|AER|Artifact - Vehicle|R|3|3|3|5||Flying  When Aethersphere Harvester enters the battlefield, you get EE (two energy counters).  Pay E: Aethersphere Harvester gains lifelink until end of turn.  Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
423770|Aetherstream Leopard|AER|Creature - Cat|C|2G|3|2|3||Trample  When Aetherstream Leopard enters the battlefield, you get E (an energy counter).  Whenever Aetherstream Leopard attacks, you may pay E. If you do, it gets +2/+0 until end of turn.
423694|Aethertide Whale|AER|Creature - Whale|R|4UU|6|6|4||Flying  When Aethertide Whale enters the battlefield, you get EEEEEE (six energy counters).  Pay EEEE: Return Aethertide Whale to its owner's hand.
423771|Aetherwind Basker|AER|Creature - Lizard|M|4GGG|7|7|7||Trample  Whenever Aetherwind Basker enters the battlefield or attacks, you get E (an energy counter) for each creature you control.  Pay E: Aetherwind Basker gets +1/+1 until end of turn.
423772|Aid from the Cowl|AER|Enchantment|R|3GG|5||||Revolt - At the beginning of your end step, if a permanent you controlled left the battlefield this turn, reveal the top card of your library. If it's a permanent card, you may put it onto the battlefield. Otherwise, you may put it on the bottom of your library.
423672|Airdrop Aeronauts|AER|Creature - Dwarf Scout|U|3WW|5|4|3||Flying  Revolt - When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life.
423794|Ajani Unyielding|AER|Planeswalker - Ajani|M|4GW|6|||4|+2: Reveal the top three cards of your library. Put all nonland permanent cards revealed this way into your hand and the rest on the bottom of your library in any order.  -2: Exile target creature. Its controller gains life equal to its power.  -9: Put five +1/+1 counters on each creature you control and five loyalty counters on each other planeswalker you control.
425692|Ajani, Valiant Protector|AER|Planeswalker - Ajani|M|4GW|6|||4|+2: Put two +1/+1 counters on up to one target creature.  +1: Reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.  -11: Put X +1/+1 counters on target creature, where X is your life total. That creature gains trample until end of turn.
425695|Ajani's Aid|AER|Enchantment|R|2GW|4||||When Ajani's Aid enters the battlefield, you may search your library and/or graveyard for a card named Ajani, Valiant Protector, reveal it, and put it into your hand. If you search your library this way, shuffle it.  Sacrifice Ajani's Aid: Prevent all combat damage a creature of your choice would deal this turn.
425694|Ajani's Comrade|AER|Creature - Elf Soldier|U|1G|2|2|2||Trample  At the beginning of combat on your turn, if you control an Ajani planeswalker, put a +1/+1 counter on Ajani's Comrade.
423673|Alley Evasion|AER|Instant|C|W|1||||Choose one -  - Target creature you control gets +1/+2 until end of turn.  - Return target creature you control to its owner's hand.
423719|Alley Strangler|AER|Creature - Aetherborn Rogue|C|2B|3|2|3||Menace
423674|Audacious Infiltrator|AER|Creature - Dwarf Rogue|C|1W|2|3|1||Audacious Infiltrator can't be blocked by artifact creatures.
423810|Augmenting Automaton|AER|Artifact Creature - Construct|C|1|1|1|1||1B: Augmenting Automaton gets +1/+1 until end of turn.
423695|Baral, Chief of Compliance|AER|Legendary Creature - Human Wizard|R|1U|2|1|3||Instant and sorcery spells you cast cost 1 less to cast.  Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.
423696|Baral's Expertise|AER|Sorcery|R|3UU|5||||Return up to three target artifacts and/or creatures to their owners' hands.  You may cast a card with converted mana cost 4 or less from your hand without paying its mana cost.
423811|Barricade Breaker|AER|Artifact Creature - Juggernaut|U|7|7|7|5||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Barricade Breaker attacks each combat if able.
423675|Bastion Enforcer|AER|Creature - Dwarf Soldier|C|2W|3|3|2||
423697|Bastion Inventor|AER|Creature - Vedalken Artificer|C|5U|6|4|4||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Hexproof (This creature can't be the target of spells or abilities your opponents control.)
423720|Battle at the Bridge|AER|Sorcery|R|XB|1||||Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for 1.)  Target creature gets -X/-X until end of turn. You gain X life.
423676|Call for Unity|AER|Enchantment|R|3WW|5||||Revolt - At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a unity counter on Call for Unity.  Creatures you control get +1/+1 for each unity counter on Call for Unity.
423677|Caught in the Brights|AER|Enchantment - Aura|C|2W|3||||Enchant creature  Enchanted creature can't attack or block.  When a Vehicle you control attacks, exile enchanted creature.
423744|Chandra's Revolution|AER|Sorcery|C|3R|4||||Chandra's Revolution deals 4 damage to target creature. Tap target land. That land doesn't untap during its controller's next untap step.
